=== Fuzzer run 1 ===
[*] Exiting with code 1
=== Fuzzer run 1 ===
NEW    run: 15181 (1294/s), ft: 4974 (38/s), corp: 24 (142b), len:  2/14, t: 12s, mem: 60mb
NEW    run: 15245 (1294/s), ft: 4978 (38/s), corp: 24 (144b), len:  2/14, t: 12s, mem: 60mb
NEW    run: 15356 (1294/s), ft: 4982 (38/s), corp: 24 (146b), len:  2/14, t: 12s, mem: 60mb
NEW    run: 15562 (1294/s), ft: 4986 (38/s), corp: 24 (148b), len:  2/14, t: 12s, mem: 61mb
NEW    run: 15638 (1293/s), ft: 4990 (38/s), corp: 24 (150b), len:  2/14, t: 12s, mem: 61mb
NEW    run: 15925 (1293/s), ft: 4994 (38/s), corp: 24 (152b), len:  2/14, t: 12s, mem: 61mb
NEW    run: 15931 (1293/s), ft: 4998 (38/s), corp: 24 (154b), len:  2/14, t: 12s, mem: 61mb
NEW    run: 16008 (1292/s), ft: 5002 (38/s), corp: 24 (156b), len:  2/14, t: 12s, mem: 61mb
NEW    run: 16194 (1290/s), ft: 5006 (38/s), corp: 24 (158b), len:  2/14, t: 13s, mem: 61mb
NEW    run: 16200 (1290/s), ft: 5010 (38/s), corp: 24 (160b), len:  2/14, t: 13s, mem: 62mb
NEW    run: 16291 (1291/s), ft: 5014 (38/s), corp: 24 (162b), len:  2/14, t: 13s, mem: 62mb
NEW    run: 16373 (1290/s), ft: 5018 (38/s), corp: 24 (164b), len:  2/14, t: 13s, mem: 62mb
NEW    run: 16389 (1290/s), ft: 5022 (39/s), corp: 24 (166b), len:  2/14, t: 13s, mem: 62mb
NEW    run: 16675 (1288/s), ft: 5026 (38/s), corp: 24 (168b), len:  2/14, t: 13s, mem: 62mb
NEW    run: 16972 (1286/s), ft: 5030 (38/s), corp: 24 (170b), len:  2/14, t: 13s, mem: 63mb
NEW    run: 17683 (1285/s), ft: 5034 (37/s), corp: 24 (172b), len:  2/14, t: 14s, mem: 63mb
NEW    run: 17844 (1284/s), ft: 5038 (37/s), corp: 24 (174b), len:  2/14, t: 14s, mem: 63mb
NEW    run: 18215 (1282/s), ft: 5042 (36/s), corp: 24 (176b), len:  2/14, t: 14s, mem: 64mb
NEW    run: 18326 (1280/s), ft: 5046 (36/s), corp: 24 (178b), len:  2/14, t: 14s, mem: 64mb
NEW    run: 18332 (1280/s), ft: 5050 (36/s), corp: 24 (180b), len:  2/14, t: 14s, mem: 64mb
NEW    run: 18626 (1277/s), ft: 5054 (36/s), corp: 24 (182b), len:  2/14, t: 15s, mem: 64mb
NEW    run: 18907 (1277/s), ft: 5058 (36/s), corp: 24 (184b), len:  2/14, t: 15s, mem: 65mb
NEW    run: 18910 (1277/s), ft: 5062 (36/s), corp: 24 (186b), len:  2/14, t: 15s, mem: 65mb
NEW    run: 19256 (1274/s), ft: 5066 (35/s), corp: 24 (188b), len:  2/14, t: 15s, mem: 65mb
NEW    run: 19664 (1270/s), ft: 5070 (35/s), corp: 24 (190b), len:  2/14, t: 15s, mem: 65mb
NEW    run: 19845 (1269/s), ft: 5074 (35/s), corp: 24 (192b), len:  2/14, t: 16s, mem: 66mb
NEW    run: 20021 (1269/s), ft: 5078 (35/s), corp: 24 (194b), len:  2/14, t: 16s, mem: 66mb
NEW    run: 20233 (1269/s), ft: 5082 (35/s), corp: 24 (196b), len:  2/14, t: 16s, mem: 66mb
NEW    run: 20259 (1268/s), ft: 5086 (35/s), corp: 24 (198b), len:  2/14, t: 16s, mem: 66mb
NEW    run: 20400 (1267/s), ft: 5090 (35/s), corp: 24 (200b), len:  2/14, t: 16s, mem: 66mb
NEW    run: 20526 (1267/s), ft: 5094 (35/s), corp: 24 (202b), len:  2/14, t: 16s, mem: 66mb
NEW    run: 20682 (1266/s), ft: 5098 (35/s), corp: 24 (204b), len:  2/14, t: 16s, mem: 67mb
NEW    run: 20708 (1265/s), ft: 5102 (35/s), corp: 24 (206b), len:  2/14, t: 16s, mem: 67mb
NEW    run: 20724 (1265/s), ft: 5106 (35/s), corp: 24 (208b), len:  2/14, t: 16s, mem: 67mb
NEW    run: 20826 (1264/s), ft: 5110 (35/s), corp: 24 (210b), len:  2/14, t: 16s, mem: 67mb
NEW    run: 20872 (1263/s), ft: 5114 (35/s), corp: 24 (212b), len:  2/14, t: 17s, mem: 67mb
NEW    run: 21173 (1255/s), ft: 5118 (35/s), corp: 24 (214b), len:  2/14, t: 17s, mem: 67mb
NEW    run: 21269 (1255/s), ft: 5122 (35/s), corp: 24 (216b), len:  2/14, t: 17s, mem: 68mb
NEW    run: 21767 (1248/s), ft: 5126 (34/s), corp: 24 (218b), len:  2/14, t: 17s, mem: 68mb
NEW    run: 22063 (1241/s), ft: 5130 (34/s), corp: 24 (220b), len:  2/14, t: 18s, mem: 68mb
NEW    run: 22154 (1240/s), ft: 5134 (34/s), corp: 24 (222b), len:  2/14, t: 18s, mem: 69mb
NEW    run: 22166 (1240/s), ft: 5138 (34/s), corp: 24 (224b), len:  2/14, t: 18s, mem: 69mb
NEW    run: 22172 (1239/s), ft: 5142 (34/s), corp: 24 (226b), len:  2/14, t: 18s, mem: 69mb
NEW    run: 22193 (1239/s), ft: 5146 (34/s), corp: 24 (228b), len:  2/14, t: 18s, mem: 69mb
NEW    run: 22365 (1237/s), ft: 5150 (34/s), corp: 24 (230b), len:  2/14, t: 18s, mem: 69mb
NEW    run: 22543 (1236/s), ft: 5154 (34/s), corp: 24 (232b), len:  2/14, t: 18s, mem: 69mb
NEW    run: 22779 (1234/s), ft: 5158 (34/s), corp: 24 (234b), len:  2/14, t: 18s, mem: 69mb
NEW    run: 22885 (1233/s), ft: 5162 (34/s), corp: 24 (236b), len:  2/14, t: 19s, mem: 70mb
NEW    run: 22901 (1232/s), ft: 5166 (34/s), corp: 24 (238b), len:  2/14, t: 19s, mem: 70mb
NEW    run: 22912 (1233/s), ft: 5170 (34/s), corp: 24 (240b), len:  2/14, t: 19s, mem: 70mb
NEW    run: 23034 (1231/s), ft: 5174 (34/s), corp: 24 (242b), len:  2/14, t: 19s, mem: 70mb
NEW    run: 23107 (1231/s), ft: 5178 (35/s), corp: 24 (244b), len:  2/14, t: 19s, mem: 70mb
NEW    run: 23128 (1231/s), ft: 5182 (35/s), corp: 24 (246b), len:  2/14, t: 19s, mem: 70mb
NEW    run: 23325 (1230/s), ft: 5186 (35/s), corp: 24 (248b), len:  2/14, t: 19s, mem: 70mb
NEW    run: 23356 (1230/s), ft: 5190 (35/s), corp: 24 (250b), len:  2/14, t: 19s, mem: 71mb
NEW    run: 23462 (1229/s), ft: 5194 (35/s), corp: 24 (252b), len:  2/14, t: 19s, mem: 71mb
NEW    run: 23685 (1227/s), ft: 5198 (35/s), corp: 24 (254b), len:  2/14, t: 19s, mem: 71mb
NEW    run: 23796 (1226/s), ft: 5202 (35/s), corp: 24 (256b), len:  2/14, t: 19s, mem: 71mb
NEW    run: 23957 (1225/s), ft: 5206 (35/s), corp: 24 (258b), len:  2/14, t: 20s, mem: 71mb
NEW    run: 24048 (1224/s), ft: 5210 (35/s), corp: 24 (260b), len:  2/14, t: 20s, mem: 71mb
NEW    run: 24109 (1224/s), ft: 5214 (35/s), corp: 24 (262b), len:  2/14, t: 20s, mem: 72mb
NEW    run: 24230 (1223/s), ft: 5218 (35/s), corp: 24 (264b), len:  2/14, t: 20s, mem: 72mb
NEW    run: 24371 (1223/s), ft: 5222 (35/s), corp: 24 (266b), len:  2/14, t: 20s, mem: 72mb
NEW    run: 24477 (1223/s), ft: 5226 (35/s), corp: 24 (268b), len:  2/14, t: 20s, mem: 72mb
NEW    run: 24498 (1223/s), ft: 5230 (35/s), corp: 24 (270b), len:  2/14, t: 20s, mem: 72mb
NEW    run: 24534 (1222/s), ft: 5234 (35/s), corp: 24 (272b), len:  2/14, t: 20s, mem: 72mb
NEW    run: 24675 (1221/s), ft: 5238 (35/s), corp: 24 (274b), len:  2/14, t: 20s, mem: 72mb
NEW    run: 24742 (1221/s), ft: 5242 (35/s), corp: 24 (276b), len:  2/14, t: 20s, mem: 73mb
NEW    run: 24778 (1220/s), ft: 5246 (35/s), corp: 24 (278b), len:  2/14, t: 20s, mem: 73mb
NEW    run: 24974 (1220/s), ft: 5250 (35/s), corp: 24 (280b), len:  2/14, t: 20s, mem: 73mb
NEW    run: 25020 (1219/s), ft: 5254 (35/s), corp: 24 (282b), len:  2/14, t: 21s, mem: 73mb
NEW    run: 25127 (1218/s), ft: 5258 (35/s), corp: 24 (284b), len:  2/14, t: 21s, mem: 73mb
NEW    run: 25223 (1218/s), ft: 5262 (35/s), corp: 24 (286b), len:  2/14, t: 21s, mem: 73mb
NEW    run: 25404 (1218/s), ft: 5266 (35/s), corp: 24 (288b), len:  2/14, t: 21s, mem: 74mb
NEW    run: 25420 (1218/s), ft: 5270 (35/s), corp: 24 (290b), len:  2/14, t: 21s, mem: 74mb
NEW    run: 25442 (1217/s), ft: 5274 (36/s), corp: 24 (292b), len:  2/14, t: 21s, mem: 74mb
NEW    run: 25693 (1217/s), ft: 5278 (35/s), corp: 24 (294b), len:  2/14, t: 21s, mem: 74mb
NEW    run: 25704 (1217/s), ft: 5282 (36/s), corp: 24 (296b), len:  2/14, t: 21s, mem: 74mb
NEW    run: 25741 (1218/s), ft: 5286 (36/s), corp: 24 (298b), len:  2/14, t: 21s, mem: 74mb
NEW    run: 25797 (1217/s), ft: 5290 (36/s), corp: 24 (300b), len:  2/14, t: 21s, mem: 74mb
NEW    run: 26223 (1217/s), ft: 5294 (35/s), corp: 24 (302b), len:  2/14, t: 22s, mem: 75mb
NEW    run: 26274 (1216/s), ft: 5298 (36/s), corp: 24 (304b), len:  2/14, t: 22s, mem: 75mb
NEW    run: 26376 (1216/s), ft: 5302 (36/s), corp: 24 (306b), len:  2/14, t: 22s, mem: 75mb
NEW    run: 26523 (1215/s), ft: 5306 (36/s), corp: 24 (308b), len:  2/14, t: 22s, mem: 75mb
NEW    run: 26529 (1215/s), ft: 5310 (36/s), corp: 24 (310b), len:  2/14, t: 22s, mem: 75mb
NEW    run: 26710 (1215/s), ft: 5314 (36/s), corp: 24 (312b), len:  2/14, t: 22s, mem: 75mb
NEW    run: 26771 (1215/s), ft: 5318 (36/s), corp: 24 (314b), len:  2/14, t: 22s, mem: 76mb
NEW    run: 26852 (1215/s), ft: 5322 (36/s), corp: 24 (316b), len:  2/14, t: 22s, mem: 76mb
NEW    run: 26868 (1214/s), ft: 5326 (36/s), corp: 24 (318b), len:  2/14, t: 22s, mem: 76mb
NEW    run: 27500 (1205/s), ft: 5330 (35/s), corp: 24 (320b), len:  2/14, t: 23s, mem: 86mb
NEW    run: 27516 (1205/s), ft: 5334 (35/s), corp: 24 (322b), len:  2/14, t: 23s, mem: 86mb
NEW    run: 27707 (1205/s), ft: 5338 (35/s), corp: 24 (324b), len:  2/14, t: 23s, mem: 87mb
NEW    run: 27748 (1205/s), ft: 5342 (35/s), corp: 24 (326b), len:  2/14, t: 23s, mem: 87mb
NEW    run: 27764 (1205/s), ft: 5346 (35/s), corp: 24 (328b), len:  2/14, t: 23s, mem: 87mb
NEW    run: 27835 (1205/s), ft: 5350 (35/s), corp: 24 (330b), len:  2/14, t: 23s, mem: 87mb
NEW    run: 28157 (1203/s), ft: 5354 (35/s), corp: 24 (332b), len:  2/14, t: 23s, mem: 87mb
NEW    run: 28194 (1203/s), ft: 5358 (35/s), corp: 24 (334b), len:  2/14, t: 23s, mem: 87mb
NEW    run: 28325 (1202/s), ft: 5362 (35/s), corp: 24 (336b), len:  2/14, t: 24s, mem: 88mb
NEW    run: 28418 (1201/s), ft: 5366 (35/s), corp: 24 (338b), len:  2/14, t: 24s, mem: 88mb
NEW    run: 28450 (1201/s), ft: 5370 (35/s), corp: 24 (340b), len:  2/14, t: 24s, mem: 88mb
NEW    run: 28511 (1200/s), ft: 5374 (36/s), corp: 24 (342b), len:  2/14, t: 24s, mem: 88mb
NEW    run: 28537 (1200/s), ft: 5378 (36/s), corp: 24 (344b), len:  2/14, t: 24s, mem: 88mb
NEW    run: 28583 (1200/s), ft: 5382 (36/s), corp: 24 (346b), len:  2/14, t: 24s, mem: 88mb
NEW    run: 28589 (1200/s), ft: 5386 (36/s), corp: 24 (348b), len:  2/14, t: 24s, mem: 88mb
NEW    run: 28604 (1200/s), ft: 5390 (36/s), corp: 24 (350b), len:  2/14, t: 24s, mem: 88mb
NEW    run: 28775 (1200/s), ft: 5394 (36/s), corp: 24 (352b), len:  2/14, t: 24s, mem: 88mb
NEW    run: 28839 (1200/s), ft: 5398 (36/s), corp: 24 (354b), len:  2/14, t: 24s, mem: 89mb
NEW    run: 28890 (1200/s), ft: 5402 (36/s), corp: 24 (356b), len:  2/14, t: 24s, mem: 89mb
NEW    run: 29021 (1199/s), ft: 5406 (36/s), corp: 24 (358b), len:  2/14, t: 24s, mem: 89mb
NEW    run: 29032 (1199/s), ft: 5410 (36/s), corp: 24 (360b), len:  2/14, t: 24s, mem: 89mb
