run_id,t,coverage,corpus_size
run_6,0.55,2265,188
run_7,0.55,2265,188
run_8,0.55,2265,188
run_9,0.55,2265,188
run_10,0.55,2265,188
run_1,0.56,2265,188
run_2,0.56,2265,188
run_3,0.56,2265,188
run_4,0.56,2480,215
run_5,0.56,2480,215
run_6,0.56,2480,215
run_7,0.56,2265,188
run_8,0.56,2265,188
run_9,0.56,2265,188
run_10,0.56,2265,188
run_1,0.57,2265,188
run_2,0.57,2265,188
run_3,0.57,2265,188
run_4,0.57,2480,215
run_5,0.57,2480,215
run_6,0.57,2480,215
run_7,0.57,2480,215
run_8,0.57,2480,215
run_9,0.57,2265,188
run_10,0.57,2480,215
run_1,0.59,2265,188
run_2,0.59,2265,188
run_3,0.59,2265,188
run_4,0.59,2480,215
run_5,0.59,2480,215
run_6,0.59,2480,215
run_7,0.59,2480,215
run_8,0.59,2480,215
run_9,0.59,2480,215
run_10,0.59,2480,215
run_1,0.61,2265,188
run_2,0.61,2480,215
run_3,0.61,2265,188
run_4,0.61,2480,215
run_5,0.61,2480,215
run_6,0.61,2480,215
run_7,0.61,2480,215
run_8,0.61,2480,215
run_9,0.61,2480,215
run_10,0.61,2480,215
run_1,0.63,2480,215
run_2,0.63,2480,215
run_3,0.63,2265,188
run_4,0.63,2480,215
run_5,0.63,2480,215
run_6,0.63,2480,215
run_7,0.63,2480,215
run_8,0.63,2480,215
run_9,0.63,2480,215
run_10,0.63,2480,215
run_1,0.67,2480,215
run_2,0.67,2480,215
run_3,0.67,2480,215
run_4,0.67,2528,225
run_5,0.67,2480,215
run_6,0.67,2480,215
run_7,0.67,2480,215
run_8,0.67,2480,215
run_9,0.67,2480,215
run_10,0.67,2480,215
run_1,0.68,2480,215
run_2,0.68,2480,215
run_3,0.68,2480,215
run_4,0.68,2528,225
run_5,0.68,2528,225
run_6,0.68,2528,225
run_7,0.68,2480,215
run_8,0.68,2480,215
run_9,0.68,2480,215
run_10,0.68,2480,215
run_1,0.69,2480,215
run_2,0.69,2480,215
run_3,0.69,2480,215
run_4,0.69,2528,225
run_5,0.69,2528,225
run_6,0.69,2528,225
run_7,0.69,2528,225
run_8,0.69,2528,225
run_9,0.69,2480,215
run_10,0.69,2528,225
run_1,0.71,2480,215
run_2,0.71,2480,215
run_3,0.71,2480,215
run_4,0.71,2528,225
run_5,0.71,2528,225
run_6,0.71,2528,225
run_7,0.71,2528,225
run_8,0.71,2528,225
run_9,0.71,2528,225
run_10,0.71,2528,225
run_1,0.72,2480,215
run_2,0.72,2528,225
run_3,0.72,2480,215
run_4,0.72,2528,225
run_5,0.72,2528,225
run_6,0.72,2528,225
run_7,0.72,2528,225
run_8,0.72,2528,225
run_9,0.72,2528,225
run_10,0.72,2528,225
run_1,0.74,2528,225
run_2,0.74,2528,225
run_3,0.74,2480,215
run_4,0.74,2528,225
run_5,0.74,2528,225
run_6,0.74,2528,225
run_7,0.74,2528,225
run_8,0.74,2528,225
run_9,0.74,2528,225
run_10,0.74,2528,225
run_1,0.78,2528,225
run_2,0.78,2528,225
run_3,0.78,2528,225
run_4,0.78,2528,225
run_5,0.78,2528,225
run_6,0.78,2528,225
run_7,0.78,2528,225
run_8,0.78,2528,225
run_9,0.78,2528,225
run_10,0.78,2528,225
run_1,0.79,2528,225
run_2,0.79,2528,225
run_3,0.79,2528,225
run_4,0.79,2562,239
run_5,0.79,2528,225
run_6,0.79,2562,239
run_7,0.79,2528,225
run_8,0.79,2528,225
run_9,0.79,2528,225
run_10,0.79,2528,225
run_1,0.8,2528,225
run_2,0.8,2528,225
run_3,0.8,2528,225
run_4,0.8,2562,239
run_5,0.8,2562,239
run_6,0.8,2562,239
run_7,0.8,2562,239
run_8,0.8,2528,225
run_9,0.8,2528,225
run_10,0.8,2528,225
run_1,0.81,2528,225
run_2,0.81,2528,225
run_3,0.81,2528,225
run_4,0.81,2562,239
run_5,0.81,2562,239
run_6,0.81,2562,239
run_7,0.81,2562,239
run_8,0.81,2562,239
run_9,0.81,2528,225
run_10,0.81,2562,239
run_1,0.82,2528,225
run_2,0.82,2528,225
run_3,0.82,2528,225
run_4,0.82,2562,239
run_5,0.82,2562,239
run_6,0.82,2562,239
run_7,0.82,2562,239
run_8,0.82,2562,239
run_9,0.82,2562,239
run_10,0.82,2562,239
run_1,0.83,2528,225
run_2,0.83,2562,239
run_3,0.83,2528,225
run_4,0.83,2562,239
run_5,0.83,2562,239
run_6,0.83,2562,239
run_7,0.83,2562,239
run_8,0.83,2562,239
run_9,0.83,2562,239
run_10,0.83,2562,239
run_1,0.85,2562,239
run_2,0.85,2562,239
run_3,0.85,2528,225
run_4,0.85,2562,239
run_5,0.85,2562,239
run_6,0.85,2562,239
run_7,0.85,2562,239
run_8,0.85,2562,239
run_9,0.85,2562,239
run_10,0.85,2562,239
run_1,0.89,2562,239
run_2,0.89,2562,239
run_3,0.89,2528,225
run_4,0.89,2562,239
run_5,0.89,2562,239
run_6,0.89,2649,254
run_7,0.89,2562,239
run_8,0.89,2562,239
run_9,0.89,2562,239
run_10,0.89,2562,239
run_1,0.9,2562,239
run_2,0.9,2562,239
run_3,0.9,2528,225
run_4,0.9,2562,239
run_5,0.9,2562,239
run_6,0.9,2649,254
run_7,0.9,2649,254
run_8,0.9,2562,239
run_9,0.9,2562,239
run_10,0.9,2562,239
run_1,0.91,2562,239
run_2,0.91,2562,239
run_3,0.91,2528,225
run_4,0.91,2649,254
run_5,0.91,2562,239
run_6,0.91,2649,254
run_7,0.91,2649,254
run_8,0.91,2562,239
run_9,0.91,2562,239
run_10,0.91,2562,239
run_1,0.92,2562,239
run_2,0.92,2562,239
run_3,0.92,2528,225
run_4,0.92,2649,254
run_5,0.92,2562,239
run_6,0.92,2649,254
run_7,0.92,2649,254
run_8,0.92,2649,254
run_9,0.92,2562,239
run_10,0.92,2649,254
run_1,0.95,2649,254
run_2,0.95,2562,239
